,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85194368665,10.1016/j.psep.2024.05.041,S0957582024005524,,Potential capacity and cost assessments for hydrogen production from marine sources,ar,Article,Karayel G.K.,60019963;60002146,Yıldız Teknik Üniversitesi;Ontario Tech University,Istanbul;Oshawa,Turkey;Canada,2,"Karayel, G. Kubilay;Dincer, Ibrahim",57226378089;56278550500,60002146;60002146-60019963,2024-08-01 00:00:00,August 2024,Process Safety and Environmental Protection,09575820,13754,,Journal,188,,,122-132,"The current study comprehensively examines the application of wave, tidal and undersea current energy sources of Turkiye for green hydrogen fuel production and its cost analysis. The estimated potential capacity of each city in the country is derived from official data and acceptable assumptions and is subject to discussion and evaluation in the context of a viable hydrogen economy. According to the findings, the potential for green hydrogen generation in Turkiye is projected to be 7.33 million tons using a proton exchange membrane electrolyser (PEMEL). Cities with the highest hydrogen production capacities from marine applications are Mugla, Izmir, Antalya, and Canakkale with 998.10 kt, 840.31 kt, 605.46 kt, and 550.42 kt, respectively. The study calculations obviously show that there is a great potential by using excess power in producing hydrogen which will result in an economic value of 3.83 billion US dollars. This study further helps develop a detailed hydrogen map for every city in Turkiye, using the identified potential capacities of renewable energy sources and the utilization of electrolysers to make green hydrogen by green power. The potentials and specific capacities for every city are also highlighted. Furthermore, the study results are expected to provide clear guidance for government authorities and industries to utilize such a potential of renewable energy for investment and promote clean energy projects by further addressing concerns caused by the usage of carbon-based (fossil fuels dependent) energy options. Moreover, green hydrogen production and utilization in every sector will help achieve the national targets for a net zero economy and cope with international targets to achieve the United Nation's sustainable development goals.",Cost | Economy | Electrolyser | Environment | Green hydrogen | Sustainable development | Tidal energy | Undersea current energy | Wave energy,0,1,publisherhybridgold,Hybrid Gold,,undefined,
1,2-s2.0-85194359673,10.1115/1.4065381,,,Optimal Positioning of Small Wind Turbines into a Building Using On-Site Measurements and Computational Fluid Dynamic Simulation,ar,Article,Diaz A.V.,60107280;131305229,Instituto Tecnológico de Santo Domingo - INTEC;Instituto Especializado de Estudios Superiores Loyola,Santo Domingo;San Cristobal,Dominican Republic;Dominican Republic,4,"Diaz, Alexander Vallejo;Moya, Idalberto Herrera;Castellanos, Juan E.;Lara, Edwin Garabitos",59147432200;37122045100;58655602600;59147585300,131305229;60107280;60107280;131305229,2024-08-01 00:00:00,1 August 2024,"Journal of Energy Resources Technology, Transactions of the ASME",01950738,27019,15288994,Journal,146,8,081801,,"Renewable energy solutions are essential for addressing several pressing issues, including climate change, the fossil fuels supply chain fragility and fuel price fluctuations. One promising technological solution is rooftop-mounted turbines into buildings. This study presents an evaluation of the potential for wind energy utilization on the rooftop of a 29 m tall building. The primary objective of this research is to develop a methodology that can effectively investigate the integration of small wind turbines (SWTs) into urban buildings, intending to promote energy sufficiency in urban areas. A robust framework has been developed that consists of seven steps. These steps include site selection, evaluating urban wind energy with computational fluid dynamics (CFD) simulation and on-site measurements, selecting an appropriate SWT, estimating the annual energy production (AEP), conducting an evaluation of the environmental impact, resilience, and economic analysis, and finally, installing the system. This straightforward yet reliable framework provides a comprehensive approach to assessing the viability of wind energy utilization in urban areas. The findings revealed that the most suitable location for installation had an estimated AEP of around 1030 kWh, leading to a reduction in emissions of 0.64 tCO2/y. Additionally, it was observed that the building's geometry and orientation significantly affected the wind flow, causing a substantial decrease in wind speed downstream. Selecting optimal sites and considering wind patterns are essential for maximizing energy generation in wind energy projects.",CFD | distributed power system | Dominican Republic | small wind turbine | urban wind energy assessment,0,1,publisherhybridgold,Hybrid Gold,,undefined,
2,2-s2.0-85192315409,10.1016/j.renene.2024.120574,S0960148124006426,,Syngas composition analysis for waste to methanol production: Techno-economic assessment using machine learning and Aspen plus,ar,Article,Timilsina M.S.,60071792;60025757;60004350,Kathmandu University;Indian Institute of Technology Madras;Technology Arts Sciences TH Köln,Dhulikhel;Chennai;Koln,Nepal;India;Germany,6,"Timilsina, Manish Sharma;Chaudhary, Yuvraj;Shah, Aman Kumar;Lohani, Sunil Prasad;Bhandari, Ramchandra;Uprety, Bibek",58772084400;58771894900;58772667800;35105494900;26653950200;58771997900,60071792;60071792;60025757;60071792;60004350;60071792,2024-07-01 00:00:00,July 2024,Renewable Energy,09601481,27569,18790682,Journal,228,,120574,,"The yield of methanol is heavily influenced by the composition of the syngas which varies from waste type and gasification conditions. This study uniquely explores machine learning (ML) and artificial neural network (ANN) algorithms with shapley additive values (SHAP) analysis to predict syngas compositions and interpret the complexities of waste gasification. Aspen Plus is then utilized to investigate the impact of syngas compositions on the economics of methanol production. Among the different ML models, gradient boosting regression achieved remarkable accuracy in predicting carbon monoxide and carbon dioxide, while ANN excelled in predicting nitrogen and hydrogen based on the coefficient of determination (>0.95). The feature importance analysis demonstrated the gasification agent type as the most important feature. Steam gasification of waste sawdust, straw, and wood chips showed the highest methanol yield. Economic analysis indicated the lowest levelized cost of methanol (LCMeOH) to be 1195.79 USD/MT which further decreased to 933.97 USD/MT upon hydrogen addition. Uncertainty analysis using Monte Carlo method showed the possible minimum LCMeOH to be 254.05 USD/MT. This study provides a comprehensive picture of the economic viability of waste-to-methanol production and provides an important reference for stakeholders on a global scale to quickly assess the feasibility of waste-to-energy projects.",Aspen plus | Economic analysis | Gasification | Machine learning | Methanol | Syngas composition,0,0,,,DAAD,57562248,Deutscher Akademischer Austauschdienst
3,2-s2.0-85189021163,10.1016/j.engappai.2024.108165,S0952197624003233,,Combinative distance-based assessment method using linguistic T-spherical fuzzy aggregation operators and its application to multi-attribute group decision-making,ar,Article,Gurmani S.H.,60212275;60012581;60003078,College of Business Administration;Zhejiang Gongshang University;Zhejiang Normal University,Riyadh;Hangzhou;Jinhua,Saudi Arabia;China;China,4,"Gurmani, Shahid Hussain;Zhang, Shangfeng;Awwad, Fuad A.;Ismail, Emad A.A.",57392355800;23494370000;8435126700;58242540100,60003078;60012581;60212275;60212275,2024-07-01 00:00:00,July 2024,Engineering Applications of Artificial Intelligence,09521976,24182,,Journal,133,,108165,,"Clean energy has become a hot topic worldwide because of the continuous rise in the climate's temperature. Reduced air pollution is only one of the many economic and environmental advantages of clean energy. An effective contractor with experience and knowledge in clean energy projects is always required to handle the complicated process of planning, implementing, and maintaining the new clean energy infrastructure. Contractor selection for renewable energy projects (REPs) is a multi-attribute group decision-making (MAGDM) problem. Linguistic T-spherical fuzzy set (LT-SFS) can be compatible with fuzzier information, and the contractor selection problem also has a lot of fuzzy information, which makes LT-SFS very suitable for contractor selection for REPs. Hence, the present work proposes a MAGDM methodology utilizing a combinative distance-based assessment (CODAS) method within the LT-SF context. For that, the Einstein and Frank t-norm and t-conorm has been used to define new and generalized operational laws for linguistic T-spherical fuzzy numbers. Then, the linguistic T-spherical fuzzy Einstein and linguistic T-spherical fuzzy Frank aggregation operators are proposed to integrate the information data provided by experts. Moreover, the proposed aggregation operators based-CODAS approach is designed to evaluate and rank the available alternatives. A real-life decision problem of selecting the best suitable contractor for a renewable energy project is solved to verify our suggested technique. Moreover, the sensitivity analysis is also carried out by changing the parameter's value to check the consistency of the rank order. Finally, the new model is compared with existing approaches to demonstrate its strength. The comparative analysis shows that the results of the suggested technique are more feasible and beneficial than those of existing approaches.",Aggregation operators | Clean energy | Combinative distance-based assessment method | Linguistic T-spherical fuzzy set | Multi-attribute group decision-making,0,0,,,KSU,24ZJQN114Y,King Saud University
4,2-s2.0-85190117465,10.1016/j.energy.2024.131272,S0360544224010454,,Evaluation of renewable energy projects based on sustainability goals using a hybrid pythagorean fuzzy-based decision approach,ar,Article,Hosseini Dehshiri S.J.,60111656;60024529,Duy Tan University;Allameh Tabataba'i University,Da Nang;Tehran,Viet Nam;Iran,4,"Hosseini Dehshiri, Seyyed Jalaladdin;Amiri, Maghsoud;Mostafaeipour, Ali;Le, Ttu",57486605300;26038890600;24169391400;58849716800,60024529;60024529;60111656;60111656,2024-06-15 00:00:00,15 June 2024,Energy,03605442,29348,18736785,Journal,297,,131272,,"Due to the growth in energy demand and the need to pay attention to sustainable development, many developing countries face the challenge of making policies for growing sustainable energy. With attention to industrial expansion and population growth, Iran, a developing country, is confronting an energy shortage problem. Despite the appropriate capacity of renewable resources in Iran, due to the lack of proper planning for adopting renewable resources in Iran, these resources have a small share of the energy supply. This study aims to present a decision framework for assessing renewable energies in developing countries, in the case of Iran. In addition to technical aspects, sustainability aspects such as economic, social, and environmental factors are proposed to assess renewable sources in this work. The Best-Worst Method (BWM) and the Interval-Valued Pythagorean Fuzzy Weighted Aggregated Sum Product Assessment (IVPF-WASPAS) techniques are suggested to prioritize renewable sources. The findings indicated that solar energy was Iran's most suitable renewable resource. Also, the validation and sensitivity analysis confirmed the findings. This research provides a comprehensive perspective for policy-making and planning of sustainability in the energy industry.",Developing countries | Energy policy | Multi-criteria decision-making | Pythagorean fuzzy sets | Renewable resource | Sustainability,1,0,,,,undefined,
6,2-s2.0-85191942275,10.1016/j.renene.2024.120585,S0960148124006530,,Scenarios for replacement of electric resistive space heating by a geothermal heat pump - Environmental amortization,ar,Article,Lorente-Rubio C.,60025153;60012329;60008167,Università degli Studi di Genova;Universidad de La Rioja;Universidad Autónoma de Ciudad Juárez,Genoa;Logrono;Ciudad Juarez,Italy;Spain;Mexico,6,"Lorente-Rubio, C.;García-Alcaraz, J. L.;Sáenz-Diez Muro, J. C.;Martínez-Cámara, E.;Bruzzone, A.;Blanco-Fernández, J.",57964180400;55616966800;57963630500;57059789400;7003901555;58454213300,60012329;60008167;60012329;60012329;60025153;60012329,2024-06-01 00:00:00,June 2024,Renewable Energy,09601481,27569,18790682,Journal,227,,120585,,"Geothermal energy has become of increasing scientific and industrial interest; hence, many works discuss and study its principles, uses, and technical/economic viability. However, much less research focuses on the environmental impact of geothermal energy projects. In this research, we perform a life cycle assessment of five different geothermal heat pump systems (GHPS) installed across five different facilities: three single-family detached houses (heating capacity of GHPS: 10 kW, 15 kW, and 45 kWh, respectively), a multipurpose building (heating capacity of GHPS: 110 kW), and a residential area of semi-detached houses (heating capacity of GHPS: 210 kW). The overall results demonstrate that the higher the heating capacity of a GHPS, the greater the environmental impact. Such results allow us to establish correlations between GHPS heating capacity and environmental impact across the 11 environmental impact categories. Amortization periods were calculated with respect to the annual demand for heating and cooling of each facility. In the 10 kW and 15 kW GHPS, the amortization period is shorter than 11 years, followed by an eight-year period for the 45 kW GHPS. Similarly, the amortization period for the 210 kW GHPS decreases up to five years. Conversely, the 110 kW GHPS has an 18-year amortization period.",Amortization analysis | Boiler replacement | Geothermal pump | Life cycle analysis,0,0,,,,undefined,
7,2-s2.0-85190645742,10.1007/s42108-023-00254-z,,,Autoregressive integrated moving average (ARIMA) modeling for wind resource assessment,ar,Article,Ashraf M.B.,60060302,NED University of Engineering &amp; Technology,Karachi,Pakistan,3,"Ashraf, M. B.;Siddiqui, M. A.;Yousuf, M. U.",58991320300;54961323600;57200451008,60060302;60060302;60060302,2024-06-01 00:00:00,June 2024,International Journal of Energy and Water Resources,25383604,21101215112,25220101,Journal,8,2,,187-198,"This investigation pertains to the appraisal of wind resources through statistical time series models, with a view toward ascertaining economic feasibility by means of financial analysis. The development of an autoregressive integrated moving average model draws on wind speed data from 2015–2019 for three Pakistani locations, namely Hawksbay, Nooriabad, and Keti Bandar, all of which serve as case studies. Upon validation, this model is utilized to forecast wind speeds and determine wind power densities for each site. Furthermore, the financial feasibility of the project is assessed through the application of the RETScreen software, a tool designed to evaluate renewable energy projects. Optimal models are selected based on the degree of deviation between predicted and actual wind speeds, with two of the three sites exhibiting characteristics that are amenable to wind power generation, namely wind class 4. Importantly, the financial parameters, including a benefit-to-cost ratio of 1.2 for both Keti Bandar and Nooriabad, as well as a positive net present value, suggest the feasibility of the project at these two technically viable locations.",Autoregressive integrated moving average | Feasibility analysis | Wind farm | Wind resource assessment | Wind speed forecasting,0,0,,,,undefined,
9,2-s2.0-85194364444,10.3390/su16104204,,,"Marine Suitability Assessment for Offshore Wind Farms’ Deployment in Thrace, Greece",ar,Article,Gazos K.,60015331,Aristotle University of Thessaloniki,Thessaloniki,Greece,2,"Gazos, Konstantinos;Vagiona, Dimitra G.",59146961900;8963762800,60015331;60015331,2024-05-01 00:00:00,May 2024,Sustainability (Switzerland),,21100240100,20711050,Journal,16,10,4204,,"The exploitation of renewable energy resources is an effective option to respond to climate change challenges. Wind energy can be exploited more efficiently and effectively than any other renewable energy source. By switching from onshore wind energy projects to offshore, the positive aspects of onshore wind energy remain and, at the same time, no valuable onshore area is occupied, while their efficiency (e.g., capacity factor) is increased. Greece has a rich wind potential and the maritime region of Thrace is one of Greece’s maritime regions with the greatest potential for the development of offshore wind energy. The aim of the present paper is to identify the most appropriate sites for the deployment of offshore wind farms in the region of Thrace. The methodology includes (i) the delineation of the study area and the definition of the support structure of the wind turbine, (ii) the identification of seven (7) exclusion and fifteen (15) assessment criteria, (iii) the suitability analysis under five different zoning scenarios (equal weight, environmental, social, techno-economic, and researchers’ subjective), and (iv) the micro siting and qualitative assessment of the most suitable sites based on energy, environmental, social, and economic criteria. The methodology is based on the combined use of Geographical Information Systems (GISs), specifically ArcGIS Desktop version 10.8.1, wind assessment software tools (WaSPs), specifically WaSP version 12.8, and multi-criteria decision-making methods. The results of the paper illustrate that the optimal suitability area that is proposed for offshore wind farm deployment is located at the easternmost end of the Greek part of the Thracian Sea. The planning and the deployment of offshore wind farm projects should follow a holistic and environmentally driven approach to ensure the integrity of all habitats and species affected.",assessment criteria | economic criteria | energy analysis | environmental impact | exclusion criteria | offshore wind farms | site selection process | social criteria | suitability assessment,0,1,publisherfullgold,Gold,,undefined,
10,2-s2.0-85189497707,10.1016/j.softx.2024.101708,S2352711024000797,,CEREI: An open-source tool for Cost-Effective Renewable Energy Investments,ar,Article,Ibrahim I.A.,60023932;60010859,University of Technology Sydney;Federation University Australia,Sydney;Ballarat,Australia;Australia,6,"Ibrahim, Ibrahim Anwar;Choudhury, Tanveer;Sargeant, James;Shah, Rakibuzzaman;Hossain, Md Jahangir;Islam, Syed",57188963649;56732680600;56443735400;36083109500;57209871691;55432804800,60023932;60010859;60010859;60010859;60023932;60010859,2024-05-01 00:00:00,May 2024,SoftwareX,,21100422153,23527110,Journal,26,,101708,,"This paper presents the development of a tool that aims to help stakeholders make informed decisions to invest in renewable energy and understand the impact of different tariffs on the economic viability of renewable energy investments. This includes evaluating the costs and benefits, and assessing the impacts of different tariff structures on the economic feasibility of those options. Furthermore, the tool can help in identifying the potential risks and challenges associated with renewable energy integration projects, such as market and network charges fluctuations. Therefore, this tool provides various evaluations to inform users about their energy consumption in relation to sport market energy prices, network tariffs, and retailer charges. It enables the assessment of a site's economic operation over specific timeframes, calculates potential energy savings from on-site renewable sources, and determines economic indicators based on life-cycle cost analysis. The tool has been designed and validated with data from the Australian energy market, focusing on investment decisions for renewable energy projects in Victoria state. It adheres to the Australian Energy Market Regulations and incorporates feed-in tariff rates particular to the Victorian energy market and its regulatory framework.",Cost–benefit analysis | Economic evaluation | Energy market | Life-cycle cost analysis | Renewable energy investment | Tariffs,0,1,publisherhybridgold,Hybrid Gold,NIFPI,NV063,National Institute for Forest Products Innovation
16,2-s2.0-85183923831,10.1016/j.jksus.2024.103105,S101836472400017X,,Research on low-carbon development path of new energy industry under the background of smart grid,ar,Article,Zheng H.,60006222,Newcastle University,Newcastle,United Kingdom,1,"Zheng, Hou",58860988600,60006222,2024-03-01 00:00:00,March 2024,Journal of King Saud University - Science,10183647,86891,,Journal,36,3,103105,,"Objectives: The transition to a low-carbon and sustainable energy system is essential to combating climate change and ensuring the long-term viability of the global energy industry. Smart grid technologies are emerging as a transformative force in this transition. This research explores the multifaceted impact of smart grid technologies on the new energy industry and evaluates the influence of policies and regulations in shaping its development. Methods: The study employs a mixed-method approach, combining quantitative analysis of key performance indicators (KPIs) and a qualitative examination of stakeholder perspectives. The quantitative analysis focuses on the impact of smart grids on renewable energy penetration, carbon emissions, and energy efficiency. The qualitative analysis draws on interviews with experts from industry, academia, and government to gain insights into the role of policies and regulations in driving smart grid development. Results: The quantitative analysis reveals a significant increase in renewable energy penetration, a reduction in carbon emissions, and enhanced energy efficiency in regions with high smart grid adoption. These findings indicate the substantial impact of smart grid technologies in facilitating the transition to a clean and sustainable energy system. The qualitative analysis highlights the role of policies and regulations in driving the growth of renewable energy capacity, reducing carbon emissions, and creating jobs in the new energy industry. Supportive regulatory frameworks have been instrumental in stimulating investment in smart grid technologies and renewable energy projects. A regression analysis was conducted to shed light on the impact of sustainability indicators, economic assessments, and renewable energy capacity on carbon emissions. The analysis shows that these variables significantly influence carbon emissions, providing insights for policymakers and industry stakeholders. Conclusion: The findings of this study underscore the importance of smart grid technologies and supportive regulatory frameworks in facilitating sustainable energy development. Smart grid technologies play a critical role in enabling the integration of renewable energy into the grid, improving energy efficiency, and reducing carbon emissions. Governments and industry stakeholders should collaborate to accelerate the deployment of smart grid technologies and create a supportive policy environment for the new energy industry.Research and development should be funded for innovative smart grid technology.",Carbon Emissions | Energy Industry | Low-Carbon Development | Renewable Energy | Smart Grid | Sustainability,0,1,publisherfullgold,Gold,,undefined,
